ID,名称,カテゴリー,緯度,経度,営業時間,定休日,備考
1,ペプシ,自販機,33.97356285,134.3602897,なし,なし,
2,ペプシ,自販機,33.9729082,134.3627115,なし,なし,
3,ペプシ,自販機,33.97289541,134.3626096,なし,なし,
4,コンビニ（ファミマ）,お店,33.96917666,134.3457274,24時間,なし,日焼け止め・水・塩分チャージなど、、熱中症対策グッズを買うことができます
5,コカコーラ,自販機,33.9736052,134.3676746,なし,なし,道の駅に5個くらいある
6,ABCショップやすおか,お店,33.96770845,134.3488537,8:00-19:00,日曜日,
7,ショップかたやま２１,お店,33.96834864,134.3425208,8:00-20:00,日曜日,
8,脇道,激アツ日陰スポット,33.97174018,134.3619314,なし,なし,
9,林道,激アツ日陰スポット,33.96755,134.3597873,なし,なし,ファミマやコンビニへ行く時に通る
10,OFFICE横桜並木,激アツ日陰スポット,33.97360031,134.3599201,なし,なし,"桜が咲く時期になればとても綺麗な枝垂れ桜が楽しめます。
普通に道路なので車に注意⚠️"
11,道,激アツ日陰スポット,33.9696937,134.3700973,なし,なし,神山ビールやコットンフィールドへ行く道
12,イルローザの森,自販機,34.02274026,134.4236123,なし,なし,神山町の森林公園で、神山町の中で更に自然を感じたいときはおすすめ！
13,homeとofficeの間の一本道,アチアチ日向危険スポット,33.97354626,134.3618199,なし,なし,陰になる場所がなく、日がサンサンと出てる時は熱いかも。
14,道の駅へのみち,アチアチ日向危険スポット,33.97350849,134.3668005,なし,なし,
15,ヤマザキショップ,お店,33.96561101,134.3312753,6:00-19:00,なし,
16,すだっちこクラブ,休憩（涼しい）スポッツ,33.96972671,134.3583497,特定不可,なし,学童
17,SHIZQ LAB.の道,激アツ日陰スポット,33.97664559,134.3612607,なし,なし,
18,おうち診療所,病院,33.97407046,134.3692111,9:00-17:00,土曜日・日曜日,
19,鮎喰川コモン,休憩（涼しい）スポッツ,33.97080264,134.3612932,9:00-18:00,火曜日,
20,大粟山神社,休憩（涼しい）スポッツ,33.97285389,134.3682989,なし,なし,
21,豆ちよ,お店,33.96776362,134.3480023,10:00-17:00,月曜日,冷たい飲み物のめるよ
22,雨乞いの滝（びみょ）,激アツ日陰スポット,33.95079627,134.3354036,なし,なし,滝周辺は涼しいけど道中は暑いよ
23,森の学校みっけ,休憩（涼しい）スポッツ,33.96812233,134.3717757,特定不可,なし,森の中にあるので避暑地。
24,コットンフィールド,休憩（涼しい）スポッツ,33.96920182,134.3697624,24時間,なし,自然豊かなキャンプ場
25,道の駅,"お店, 休憩（涼しい）スポッツ",33.973719,134.3671158,9:00-17:00,なし,自販機、ベンチあり
26,温泉,"お店, 休憩（涼しい）スポッツ",33.9719588,134.3708339,10:00-20:00,第４火曜日,無料休憩所あり
27,粟カフェ,"お店, 休憩（涼しい）スポッツ",33.97507931,134.370938,11:30-16:00,木曜日・金曜日,ケーキが絶品
28,神山ビール,"お店, 休憩（涼しい）スポッツ",33.96957663,134.3705554,"土曜日：12:00-18:00
日曜日：10:00-18:00",月曜日・火曜日・水曜日・木曜日・金曜日,"ビールだけじゃなく、
トーストも焼いてくれます"
29,松葉庵,"お店, 休憩（涼しい）スポッツ",33.978209,134.3739264,10:00-18:00,火曜日,"神山町に愛される喫茶店。
コーヒーや定食が楽しめます。"
30,鮎喰川（高専に近い所）,"休憩（涼しい）スポッツ, 激アツ日陰スポット",33.97046986,134.361519,なし,なし,浅いところは浅く、深いところは深いので子供から大人まで楽しめる。
31,鮎喰川（コンビニ近い所）,"激アツ日陰スポット, 休憩（涼しい）スポッツ",33.96814206,134.3544245,なし,なし,深いので川泳ぎ上級者向け
32,林商店,休憩（涼しい）スポッツ,33.97998377,134.3764652,11:00-14:00,月曜日・木曜日,お母さんが作ったような温かい惣菜とうどんが楽しめます。
33,かま屋,休憩（涼しい）スポッツ,33.96910247,134.346927,11:00-15:00,月曜日・火曜日,神山町Food Hub Projectによる、地産地食をモットーにした、神山産の農作物をふんだんに使った食堂・パン・食品店。
34,温泉近くの川,激アツ日陰スポット,33.97135022,134.3697666,なし,なし,
35,ファミマ・城西のとこのみち,アチアチ日向危険スポット,33.96876529,134.3468778,なし,なし,遮蔽物がなく気温が上がりがちです。
36,寄井座のみち,アチアチ日向危険スポット,33.96740281,134.3467554,なし,なし,遮蔽物がなく気温が上がりがちです。
37,文化橋,アチアチ日向危険スポット,,,なし,なし,
38,小川橋,激アツ日陰スポット,33.97609858,134.361484,なし,なし,
39,農村ふれあい公園,"激アツ日陰スポット, 休憩（涼しい）スポッツ",33.97181317,134.369404,なし,なし,
40,木の近くの道,激アツ日陰スポット,33.97609939,134.3621676,なし,なし,朝に影が出やすいから、朝の散歩におすすめ
41,大久保の山道,激アツ日陰スポット,33.95919781,134.3634453,なし,なし,
42,のりのおすすめ飛び込みスポット,"激アツ日陰スポット, その他",33.959759,134.3634728,なし,なし,上級者向けそう
43,,,,,,,
